Word,RawWSA,WSA
BAITH,351.7,0.236
MAGAS,1128.2,0.82
GOMPA,1084.2,0.787
BILBY,1112.0,0.808
POPES,1097.1,0.796
HENTS,447.5,0.308
AURAS,334.5,0.223
GIDDY,1145.7,0.833
TACOS,269.3,0.174
ONNED,878.0,0.632
BOWED,981.0,0.709
TSARS,338.3,0.226
SLOGS,1131.9,0.822
GRIND,414.2,0.283
MOREL,568.7,0.399
ASADA,365.9,0.247
WEEKE,597.0,0.42
WINNA,835.4,0.6
AMMAN,873.5,0.628
SABJI,668.9,0.474
RUNTS,171.3,0.1
SLOPS,1131.9,0.822
TREAD,96.3,0.044
LOOFA,968.2,0.699
FEVER,625.4,0.442
GLOVE,620.8,0.438
TRIST,219.0,0.136
CREPS,311.7,0.206
PHEON,1043.5,0.756
BERES,492.8,0.342
CORSO,263.4,0.17
SOFAR,352.5,0.237
REEZE,356.5,0.24
PISOS,1103.0,0.801
LAMES,515.2,0.359
TRECK,236.8,0.15
BOABS,499.8,0.347
APPLY,857.4,0.616
GRATA,339.7,0.227
DAALS,413.3,0.282
SOYAS,824.3,0.591
AMOUR,475.8,0.329
GERNE,352.4,0.237
DUDES,922.6,0.665
NIFLE,504.4,0.351
AGAIN,343.4,0.23
SLURP,316.4,0.209
ULNAR,335.2,0.224
ETTIN,276.3,0.179
NOLES,903.3,0.651
GOBAR,564.7,0.396
BOHOS,1368.1,1.0
KAWAS,1128.2,0.82
RADGY,405.1,0.276
COATI,91.4,0.04
SCAIL,104.0,0.05
HELOT,580.5,0.408
MOTEL,609.1,0.429
TIDES,313.3,0.207
COVEN,602.5,0.425
JASEY,544.6,0.381
FLOWN,1063.0,0.771
URUBU,476.2,0.33
KIDDO,1141.2,0.829
NRTYA,369.7,0.25
PINNA,835.4,0.6
CURBS,354.2,0.238
BOTAS,488.7,0.339
CYCLE,317.0,0.21
YUGAS,912.8,0.658
UGALI,336.3,0.224
OPTER,417.3,0.285
LAVER,416.2,0.285
OUSTS,581.8,0.409
OOTID,538.5,0.376
EASEL,515.2,0.359
LEWIS,653.4,0.463
RENOS,501.3,0.348
PANED,351.1,0.236
CUNIT,211.2,0.13
MUILS,896.4,0.645
JEHUS,889.2,0.64
EBIKE,627.2,0.443
COTCH,457.8,0.316
UPPER,579.1,0.407
THEOR,421.8,0.289
UNAIS,296.3,0.194
IDIOT,405.9,0.277
MANES,507.5,0.353
SAWER,365.5,0.246
GAZOO,995.5,0.72
EDGED,969.8,0.701
PIKEY,987.6,0.714
MEECH,555.6,0.389
ADYTS,336.7,0.225
BOITE,179.2,0.106
IXIAS,810.5,0.581
ALIOS,660.6,0.468
PADLE,174.1,0.103
LOTAH,505.6,0.352
RAGAS,563.6,0.395
PUDUS,1193.6,0.869
MEARE,328.6,0.219
GRAIP,219.8,0.137
QUACK,319.7,0.212
NOISE,342.7,0.229
LIVRE,298.3,0.196
PHEME,673.0,0.478
CHEST,188.8,0.114
LINED,661.1,0.469
AZLON,715.8,0.51
WAVES,544.6,0.381
ACHOO,443.2,0.305
VALVE,414.1,0.283
MAWKS,1128.2,0.82
HYDRO,488.1,0.339
MUXED,956.1,0.69
ETUDE,215.9,0.134
SMITH,509.9,0.355
MENDS,770.8,0.551
PISCO,435.7,0.299
CILIA,299.3,0.197
ALGOS,727.6,0.519
NENES,864.8,0.622
KARMA,702.4,0.5
NEANT,340.2,0.227
VISIE,386.6,0.262
VOLAR,427.8,0.293
BURRO,474.1,0.328
DOETH,462.6,0.319
ECRUS,250.8,0.16
DEKES,867.6,0.624
SEEPY,844.0,0.606
FACTS,460.5,0.318
POURS,482.2,0.334
GAMBO,995.5,0.72
MENSA,421.4,0.288
SWEPT,530.1,0.37
OAFOS,934.3,0.674
SHOCK,530.5,0.37
ROAMS,209.8,0.129
POTTS,753.7,0.538
PIKER,626.2,0.442
TINGS,450.3,0.31
FOUNT,393.9,0.268
DAUNT,297.1,0.195
BATTU,480.7,0.333
LICIT,225.2,0.141
CIDER,255.2,0.163
FORDS,495.0,0.344
PALMS,1033.2,0.748
WHEEP,1070.0,0.776
COPES,585.7,0.412
WHELM,967.2,0.699
USNEA,290.3,0.19
STAID,123.2,0.064
DOSAI,780.5,0.558
PATKA,722.9,0.515
GAMAS,1128.2,0.82
DROME,301.7,0.198
LICKS,469.0,0.324
ALDEA,272.5,0.176
SNOWY,1050.5,0.761
QUODS,1190.5,0.867
WAKER,464.0,0.32
SYPHS,1124.9,0.817
STUMM,584.7,0.411
CHORE,357.7,0.241
SILTS,538.9,0.377
TOPEE,380.8,0.258
ZEINS,694.9,0.494
LIKIN,889.9,0.641
TOPIC,265.2,0.171
WAVED,388.2,0.263
WORSE,343.4,0.23
ANEAR,221.0,0.138
RAYAH,647.9,0.459
CLIPE,262.5,0.169
TELOI,322.3,0.214
THESP,405.6,0.277
DUSTS,586.5,0.413
POOCH,715.2,0.509
LUNTS,472.4,0.327
VINNY,1121.5,0.815
PURDA,484.8,0.336
ZONDA,932.8,0.673
WIDEN,750.7,0.536
JONTY,602.7,0.425
MOSED,954.8,0.689
HUSSY,1076.0,0.78
ESCAR,317.0,0.21
APPAY,973.4,0.703
TONIC,244.5,0.155
TAVAH,700.0,0.498
BUDOS,1190.3,0.866
CURES,266.2,0.172
RETIA,85.7,0.036
MAILE,189.2,0.114
UNDEE,483.8,0.335
QUOIS,1077.2,0.781
VANGS,1028.3,0.745
KYTES,588.7,0.414
RENDS,347.8,0.233
TAIGA,350.2,0.235
ABETS,142.9,0.079
LICHT,338.1,0.226
POTAE,140.4,0.077
FUNKS,1123.5,0.816
REPAS,377.4,0.255
SICHT,283.2,0.185
MOBES,1097.1,0.796
CEORL,325.9,0.217
TORTE,268.5,0.173
SNARL,375.4,0.254
MIGHT,618.7,0.437
GENAS,471.4,0.326
WASHY,1128.2,0.82
ETATS,329.9,0.22
BOINK,931.3,0.672
PEROG,664.3,0.471
CODEN,430.9,0.296
CROWN,491.8,0.341
MOITY,456.9,0.315
HELOS,930.4,0.671
MURKY,557.6,0.391
GAITT,310.8,0.205
DANCE,126.3,0.067
GRAIL,156.7,0.089
DEADS,182.1,0.109
MIVVY,1279.6,0.933
FUGIO,1141.2,0.829
URSID,368.3,0.248
BURIN,422.6,0.289
MIMSY,1142.8,0.831
LOTUS,578.0,0.406
FRONS,548.9,0.384
DURST,131.6,0.071
DEVIS,723.7,0.516
PARAE,346.3,0.232
MANDS,819.5,0.588
SARIN,195.0,0.118
ETHIC,151.6,0.086
WHIRS,551.5,0.386
BRIBE,389.2,0.264
RORTY,344.8,0.231
NYMPH,1181.9,0.86
BILLY,1112.0,0.808
GIGHE,643.4,0.455
KALIF,772.9,0.553
BREDS,337.2,0.225
CUTEY,296.8,0.195
MINCY,611.2,0.431
MODOC,591.0,0.416
ALLIN,631.8,0.447
YESES,967.8,0.699
DWALM,479.1,0.332
BALMS,1033.2,0.748
YUCCA,510.4,0.355
CYDER,306.1,0.202
LOPED,870.1,0.626
KAGUS,907.4,0.654
SMEEK,917.3,0.661
YLEMS,944.6,0.682
PEAGS,390.9,0.265
COMPS,753.0,0.538
NOBLY,1086.1,0.788
COCOA,574.1,0.403
PEDON,795.9,0.57
HITHE,313.9,0.208
ETROG,405.1,0.276
DUMPS,1200.9,0.874
MAGIC,411.5,0.281
BENDY,814.0,0.584
SEELY,814.2,0.584
SPAWN,626.1,0.442
OXIDS,1038.0,0.752
HAKUS,907.4,0.654
GRADS,211.7,0.131
ABACS,193.5,0.117
FOCUS,617.8,0.436
HIDES,793.7,0.568
HAYED,388.2,0.263
STONY,564.7,0.396
SLIMS,936.6,0.676
TONKA,411.9,0.281
IDENT,232.6,0.146
TANSU,208.8,0.129
WHIRR,583.7,0.41
GLIKE,521.7,0.364
VOTES,642.0,0.454
SIGRI,428.7,0.294
CADES,134.6,0.073
LAYED,340.4,0.228
SNAIL,263.2,0.169
