bigram,raw_count,log_rarity_score
PH,7561343147,0.2677062858416476
PI,9629601171,0.24523729517583936
PJ,75706008,0.695535236572183
PK,167240984,0.6218836597751418
PL,17001616925,0.19241164155867596
PM,3267674878,0.34566890207592893
PN,411327563,0.5382540153624482
PO,23703275501,0.16153169796966294
PP,9875069347,0.24289819190472284
PQ,102094564,0.6677462942722273
PR,31268978905,0.13578980563240306
PS,4936994208,0.30732015219634445
PT,6901392028,0.2761928700811138
PU,7257174438,0.2715216910496886
PV,186219865,0.6118947735646103
PW,465388310,0.5267792342661523
PX,87171181,0.6824310797980885
PY,2064349214,0.3883466972938139
PZ,51530668,0.7312822647580968
QA,117748793,0.6544899478533623
QB,25058796,0.7982778778433579
QC,52341229,0.7298319364056977
QD,28407229,0.78662314426888
QE,25297860,0.7973955490866336
QF,42521152,0.7491404719412911
QG,15295164,0.8441546254291254
QH,29313112,0.7837060614672895
QI,99281600,0.6703425905145334
QJ,6944827,0.9175238258685842
QK,8123073,0.9029611693533901
QL,207584203,0.6018021112188392
QM,34592319,0.7683177255054792
QN,28847084,0.7851953036139137
QO,25047812,0.7983186191918057
QP,35805858,0.765113631679808
QQ,16554628,0.8368014395499241
QR,82307906,0.6877656795709874
QS,135719258,0.6412911238950426
QT,92435217,0.6769823994376285
QU,8281405449,0.2592533270860703
QV,15697108,0.8417441298050323
QW,38662144,0.7579815718620895
QX,7684606,0.9081176103696159
QY,6901470,0.9181057908161477
QZ,4293975,0.9622014417376124
RA,46135420707,0.09964560076934537
RB,3838019263,0.3307190868167682
RC,14278737404,0.2086307580634712
RD,14380342944,0.20797184692821657
RE,108669181717,0.02003287973854362
RF,4407369994,0.317865324072492
RG,6774701154,0.2779146022488499
RH,2300596181,0.3782777996718001
RI,48154583840,0.09566506033930477
RJ,467618387,0.5263350063849863
RK,7673324341,0.2663401627735985
RL,6736958349,0.2784337566014813
RM,13536350081,0.2135923742167003
RN,11557521313,0.22827869744738605
RO,46608666502,0.09869723866642988
RP,5964174774,0.2897557286428215
RQ,276576452,0.5751368118325415
RR,8457557665,0.25729743233920344
RS,31498209240,0.13511105345541008
RT,31174956946,0.13606964527928567
RU,8479995978,0.2570512200867283
RV,7048825612,0.27422859865494753
RW,3123939253,0.3498491013797671
RX,177324040,0.6164434595083683
RY,16071337298,0.19764071793529658
RZ,271040922,0.5770155517834913
SA,31138171773,0.1361793595662203
SB,5554765729,0.296364150542373
SC,16886526539,0.19304283551007728
SD,4313766677,0.31986014866059076
SE,58165976437,0.07811269508280438
SF,6792861643,0.27766583348595675
SG,2246645063,0.38048297295361366
SH,21322806441,0.17136667602931654
SI,41483080358,0.10952326349432795
SJ,678346544,0.49176579072916726
SK,3854517035,0.3303204969092135
SL,5977618166,0.2895465056556541
SM,7051919359,0.2741878219026299
SN,4581713888,0.3142602377964768
SO,31467005438,0.13520315708598607
SP,17010851034,0.1923611839399486
SQ,750514602,0.48237083833144534
SR,4378996072,0.31846550401270124
SS,31081241798,0.13634941287631397
ST,78728300226,0.04998362804101575
SU,18318104818,0.18548104322904646
SV,1317445135,0.43008193921225324
SW,7312275570,0.2708187978798897
SX,243932875,0.5868078493419402
SY,4676593607,0.3123555364786951
SZ,182604914,0.6137164285143732
TA,42344542093,0.10761326061976229
TB,3716332695,0.3337130943138671
TC,7358005916,0.2702394527825961
TD,3231292348,0.3467093562940834
TE,80948650956,0.04739912389844214
TF,3611139685,0.33638138056821676
TG,1671158263,0.40798190150136504
TH,133210262170,0.0011111199887557932
TI,79834588969,0.04868691499910227
TJ,536726231,0.5135264171281793
TK,592138618,0.5043961396810455
TL,6510937489,0.2816048837074906
TM,5594198669,0.2957068010538495
TN,2772908209,0.36092577366427203
TO,68548751664,0.06285000743522906
TP,4481584579,0.3163135854957062
TQ,172016016,0.6192676097973393
TR,26996514264,0.14944246167591413
